id,bill_month_count_01,bill_month_count_02,bill_month_count_03,bill_month_count_04,bill_month_count_05,bill_month_count_06,bill_month_count_07,bill_month_count_08,bill_month_count_09,bill_month_count_10,bill_month_count_11,bill_month_count_12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0
3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0
5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,25.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
7,64.0,1.0,6.0,3.0,0.0,1.0,4.0,5.0,7.0,4.0,10.0,6.0
8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0
10,70.0,8.0,10.0,10.0,10.0,7.0,13.0,20.0,12.0,13.0,13.0,14.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,26.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0
13,30.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0
15,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0
17,84.0,0.0,4.0,33.0,4.0,5.0,6.0,6.0,10.0,8.0,4.0,5.0
18,71.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0
19,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0
20,5.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
21,3.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
