id,borrow_cash_limit_avg
1,
2,7.08756034783
3,0.0
4,7.80844458333
5,19.971271
6,13.7884339286
7,11.0329088649
8,20.376736
9,10.668649
10,6.072608745
11,19.07169275
12,13.9117208235
13,9.9426844
14,2.30759952941
15,18.361833
16,21.069883
17,10.3439938817
18,21.580708
19,20.0432429778
20,0.0
21,0.0
22,0.0
23,0.0
24,15.0972440786
25,16.42138575
26,9.6390615
27,13.3141803333
28,0.0
29,18.361833
30,10.422894619
31,
32,18.767298
33,
34,8.42120231068
35,11.3929063931
36,0.0
37,19.278123
38,
39,0.0
40,6.31397880435
41,
42,5.29904119672
43,3.71121395604
44,19.278123
45,10.7842432683
46,19.278123
47,7.96739185294
48,13.0504891667
49,14.8586244571
50,10.4437805
51,10.5050290937
52,
53,9.45972340476
54,12.4614666
55,
56,
57,15.4224984
58,0.0
59,1.9460445
60,0.0
61,19.5699466667
62,9.78950880851
63,10.84881945
64,6.1346235
65,0.0
66,
67,19.526146
68,9.54634844152
69,19.460445
70,0.0
71,14.317197
72,0.0
73,
74,0.0
75,
76,
77,14.3372843897
78,5.58413166667
79,19.9163048077
80,6.12321468
81,
82,10.1124819586
83,1.97703705556
84,0.0
85,19.05498
86,0.0
87,19.6307952
88,7.10067421429
89,19.6403881389
90,19.2517250617
91,
92,10.4797031379
93,
94,8.4449848
95,
96,0.0
97,
98,18.767298
99,12.4285263243
100,8.71759822222
101,0.0
102,19.05498
103,
104,
105,7.73331906977
106,
107,7.78956183871
108,
109,
110,10.0073117368
111,5.90332061538
112,3.73801036364
113,
114,15.5220038
115,9.44406474074
116,7.67974013333
117,7.06224346154
118,
119,6.2007172446
120,8.23092666337
121,0.841366
122,7.65544436975
123,12.001653925
124,10.8384511765
125,0.0
126,0.0
127,15.6741365175
128,10.9673982432
129,12.852082
130,0.0
131,5.47554734348
132,2.432555625
133,0.0
134,7.232260875
135,
136,10.7066652258
137,
138,17.8141534483
139,14.45859225
140,9.1809165
141,
142,4.42282840909
143,17.6217097059
144,
145,10.3105338545
146,16.6018405385
147,0.0
148,
149,21.3396332727
150,0.0
151,9.49241736364
152,
153,12.344867375
154,21.539886
155,
156,
157,0.0
158,16.806463
159,7.07283985185
160,10.4705138571
161,0.0
162,13.1902946842
163,20.34724416
164,0.765076375
165,0.0
166,7.869357
167,19.7653844
168,0.0
169,4.41868755556
170,4.81279808955
171,19.6750296842
172,4.74678681081
173,
174,10.3679837069
175,
176,3.9942542
177,
178,15.7996511481
179,
180,0.0
181,
182,
183,0.0
184,18.6357877429
185,
186,
187,
188,20.664418
189,20.233635
190,9.75279850794
191,18.361833
192,15.7547309333
193,20.4962651646
194,0.0
195,9.7302225
196,
197,
198,
199,17.5137585333
200,8.11235560947
201,17.668686
202,5.90145009302
203,16.6901822308
204,3.0603055
205,10.3720622851
206,0.0
207,19.748127
208,13.35766001
209,0.0
210,12.737689
211,14.2651935714
212,0.0
213,12.511532
214,
215,0.0
216,19.971271
217,0.0
218,4.59045825
219,17.6829002078
220,5.5928802
221,12.2244609545
222,3.37454716667
223,0.0
224,
225,13.5953602059
226,9.3336315
227,17.2171413333
228,5.7107485102
229,
230,5.827447875
231,11.8765568
232,19.460445
233,0.0
234,
235,13.4561594762
236,6.46688775238
237,5.39787444
238,12.9935666761
239,18.4937965862
240,
241,13.9937268617
242,9.1809165
243,19.971271
244,17.2078512857
245,8.56110004698
246,7.62219387288
247,0.0
248,17.668686
249,19.278123
250,
251,0.0
252,
253,0.0
254,3.91861995327
255,7.09709311614
256,3.10216679412
257,0.0
258,4.81953075
259,0.0
260,11.2141125714
261,
262,18.5392239375
263,5.55530281034
264,18.767298
265,2.431108
266,
267,14.6561102632
268,7.44480561538
269,0.0
270,
271,
272,7.229296125
273,
274,8.33787296875
275,17.279611125
276,2.45080973333
277,12.241222
278,
279,1.48601285714
280,17.6503964
281,19.4142478387
282,5.4417330641
283,12.2240433704
284,6.120611
285,5.95033566667
286,13.0593736452
287,17.2138742381
288,19.278123
289,17.1326778286
290,19.460445
291,10.9465003125
292,12.290026675
293,
294,12.7339555636
295,9.1809165
296,8.48223550345
297,0.0
298,12.8908661429
299,13.1315826538
300,10.8097995571
301,11.3929709109
302,0.0
303,14.539961625
304,20.4844910543
305,11.220756443
306,0.919661365297
307,
308,7.63749637768
309,20.759728
310,
311,10.8760094737
312,21.122563
313,9.7302225
314,11.75353475
315,
316,4.30452580723
317,0.0
318,
319,15.0950845833
320,
321,
322,6.426041
323,
324,11.9769103636
325,0.0
326,0.0
327,6.878332
328,0.0
329,
330,10.09900815
331,19.2958321053
332,3.67884272727
333,13.8540574286
334,
335,0.0
336,11.6696254011
337,
338,
339,3.84062903846
340,
341,0.0
342,8.3360427619
343,19.614596
344,20.5411375385
345,8.62828719048
346,1.7438985
347,0.0
348,
349,
350,8.91829219308
351,
352,7.7112492
353,
354,
355,0.0
356,
357,
358,7.56125931183
359,0.0
360,
361,0.0
362,15.6142583636
363,
364,20.5920881869
365,0.0
366,6.84514391379
367,0.0
368,8.04014069655
369,0.0
370,19.2533293333
371,9.74788227381
372,0.0
