id,card_limit_avg
1,
2,18.6389741304
3,18.361833
4,16.0552041111
5,20.664418
6,20.567794381
7,19.8457968739
8,21.069883
9,18.5610631818
10,19.674681475
11,19.7648401667
12,14.4539483922
13,20.6806813333
14,13.8767851176
15,19.1129035714
16,21.76303
17,16.0438461893
18,21.580708
19,20.7363899778
20,21.3413286667
21,20.4935871333
22,19.460445
23,0.0
24,19.5964704006
25,19.460445
26,19.971271
27,20.664418
28,20.46124
29,19.05498
30,20.8518347143
31,
32,19.460445
33,
34,17.8016328835
35,15.5763664103
36,19.460445
37,19.971271
38,
39,18.4773575
40,21.4437585652
41,
42,19.0862392131
43,20.0810771758
44,19.971271
45,13.4366719268
46,19.971271
47,17.8084434608
48,16.39960625
49,19.1653570714
50,21.1258314167
51,17.4416385625
52,
53,9.87059009524
54,14.756147
55,
56,
57,20.0077352
58,12.0347242105
59,2.0153592
60,18.3608304
61,20.2630936667
62,19.3335720851
63,10.84881945
64,14.49241475
65,20.664418
66,
67,19.9420342
68,18.9033987381
69,19.460445
70,21.76303
71,20.1709122273
72,19.460445
73,
74,19.971271
75,
76,
77,14.8763681972
78,15.202152
79,20.6094518077
80,17.19396754
81,
82,20.7851724966
83,11.4916768611
84,14.59533375
85,19.748127
86,19.460445
87,20.3239426
88,7.60481507143
89,19.8906912222
90,20.2049940741
91,
92,15.8754014828
93,
94,21.007415
95,
96,19.460445
97,
98,19.460445
99,14.6822278378
100,20.5058957778
101,11.9093625
102,19.460445
103,
104,
105,9.31323631163
106,
107,19.9754967097
108,
109,
110,21.6194176842
111,10.7253514615
112,20.1784595909
113,
114,15.5220038
115,19.5856388148
116,19.4356905667
117,16.6106819385
118,
119,18.0560293022
120,18.8855790891
121,0.874373
122,19.7804148824
123,19.653230075
124,20.0608134118
125,20.3766165405
126,0.0
127,20.8355128811
128,21.391852027
129,19.971271
130,20.664418
131,14.6100993174
132,7.557597
133,20.268334
134,15.9696919375
135,
136,20.1060617742
137,
138,20.7223691379
139,18.8199785
140,19.5131255
141,
142,4.42282840909
143,18.23331
144,
145,14.9394100727
146,17.2150090385
147,18.361833
148,
149,21.6344885
150,19.2633758
151,18.1497500303
152,
153,17.1368837812
154,21.5449380833
155,
156,
157,0.0
158,18.7502157273
159,11.1081886111
160,11.1150914286
161,2.72214
162,16.8426494211
163,20.34724416
164,18.849292375
165,17.668686
166,8.24365142857
167,20.6759778
168,0.0
169,15.7691602222
170,18.5004373433
171,19.6750296842
172,17.6612222703
173,
174,19.4165626552
175,
176,20.2557572
177,
178,16.6341745556
179,
180,20.664418
181,
182,
183,0.0
184,19.3155066857
185,
186,
187,
188,20.664418
189,20.926782
190,10.0828685079
191,19.05498
192,16.2168289333
193,21.1806381519
194,0.0
195,17.3487735
196,
197,
198,
199,21.3247545333
200,16.7522942189
201,18.361833
202,18.7834670233
203,17.4338688462
204,19.6482805
205,16.4103391579
206,19.460445
207,19.748127
208,16.1731462338
209,21.3548456667
210,17.85017608
211,14.7602985714
212,20.441274
213,12.97363
214,
215,16.976064
216,20.664418
217,0.0
218,19.84949325
219,19.942400961
220,11.7981555333
221,12.4450077273
222,19.7034487051
223,20.664418
224,
225,16.90534075
226,9.68020516667
227,18.6970736667
228,9.69108321429
229,
230,5.9718535
231,20.3303252
232,20.153592
233,21.357565
234,
235,17.8855387211
236,19.6808503238
237,20.47033684
238,20.2206504624
239,19.6171727586
240,
241,20.599497336
242,9.52749
243,20.664418
244,18.1069007857
245,13.8602630872
246,13.6827915339
247,19.460445
248,18.361833
249,19.971271
250,
251,19.2170752174
252,
253,17.15786
254,15.2680543645
255,15.6576331043
256,19.5645952647
257,0.0
258,8.834343
259,0.0
260,14.6201801429
261,
262,19.2323709375
